2026/01/16 20:23更新,#genre#
BesTV全球大片,http://171.213.239.145:8188/udp/239.94.1.24:5140
BesTV动漫,http://171.213.239.145:8188/udp/239.93.0.146:5140
BesTV少儿,http://171.213.239.145:8188/udp/239.93.0.147:5140
BesTV游戏,http://171.213.239.145:8188/udp/239.93.1.135:5140
卡酷少儿,http://106.59.2.106:55555/rtp/239.200.200.64:8324
优漫卡通,http://111.127.156.214:51234/rtp/239.29.0.127:5000
哈哈炫动,http://111.127.156.214:51234/rtp/239.29.0.128:5000
嘉佳卡通,http://111.127.156.214:51234/rtp/239.29.0.126:5000
少儿动画,http://115.171.80.52:1688/rtp/225.1.8.207:9000
新动漫,http://106.59.2.106:55555/rtp/239.200.201.32:4120
金鹰卡通,http://106.59.2.106:55555/rtp/239.200.200.65:8328
金鹰纪实,http://106.59.2.106:55555/rtp/239.200.201.126:8840
快乐垂钓,http://106.59.2.106:55555/rtp/239.200.200.103:8400
纪实人文,http://111.113.88.15:2000/rtp/239.121.4.164:8968
纪实科教,http://106.59.2.106:55555/rtp/239.200.200.147:8728
☘️安徽省,#genre#
安徽国际,http://114.107.44.190:8188/rtp/238.1.78.61:6360
安徽影视,http://114.107.44.190:8188/rtp/238.1.79.42:4448
安徽经济生活,http://114.107.44.190:8188/rtp/238.1.79.44:4464
安徽公共,http://114.107.44.190:8188/rtp/238.1.79.43:4456
安徽综艺体育,http://114.107.44.190:8188/rtp/238.1.79.41:4440
合肥新闻,http://114.107.44.190:8188/rtp/238.1.78.111:6760
肥西新闻综合,http://114.107.44.190:8188/rtp/238.1.78.185:7352
黄山新闻综合,http://114.107.44.190:8188/rtp/238.1.78.130:6912
黄山文旅频道,http://114.107.44.190:8188/rtp/238.1.78.131:6920
蚌埠新闻频道,http://114.107.44.190:8188/rtp/238.1.78.180:7312
滁州新闻综合频道,http://114.107.44.190:8188/rtp/238.1.78.132:6928
滁州科教频道,http://114.107.44.190:8188/rtp/238.1.78.133:6936
滁州公共频道,http://114.107.44.190:8188/rtp/238.1.78.134:6944
池州新闻综合频道,http://114.107.44.190:8188/rtp/238.1.78.147:7048
淮北新闻,http://114.107.44.190:8188/rtp/238.1.78.135:6952
淮北经济生活,http://114.107.44.190:8188/rtp/238.1.78.136:6960
淮南新闻,http://114.107.44.190:8188/rtp/238.1.78.113:6776
淮南民生频道,http://114.107.44.190:8188/rtp/238.1.78.114:6784
宿州新闻综合,http://114.107.44.190:8188/rtp/238.1.78.121:6840
宿州公共频道,http://114.107.44.190:8188/rtp/238.1.78.122:6848
