2026/09/05 04:58更新,#genre#
云看熊猫,http://183.222.206.14:8096/udp/239.94.1.7:5140
收视导视,http://183.222.206.14:8096/udp/239.94.1.56:5140
熊猫爱生活,http://183.222.206.14:8096/udp/239.94.1.11:5140
大爱四川,http://183.222.206.14:8096/udp/239.94.1.12:5140
大爱旅游,http://183.222.206.14:8096/udp/239.94.1.13:5140
大爱生活,http://183.222.206.14:8096/udp/239.94.1.14:5140
大爱时尚,http://183.222.206.14:8096/udp/239.94.1.15:5140
乐龄学堂,http://183.222.206.14:8096/udp/239.94.1.155:5140
九画面15,http://183.222.206.14:8096/udp/239.94.2.138:5140
九画面卫视1,http://183.222.206.14:8096/udp/239.94.2.133:5140
九画面卫视2,http://183.222.206.14:8096/udp/239.94.2.134:5140
九画面卫视3,http://183.222.206.14:8096/udp/239.94.2.136:5140
九画面卫视4,http://183.222.206.14:8096/udp/239.94.2.141:5140
九画面卫视5,http://183.222.206.14:8096/udp/239.94.2.140:5140
九画面四川1,http://183.222.206.14:8096/udp/239.94.2.131:5140
九画面四川2,http://183.222.206.14:8096/udp/239.94.2.130:5140
九画面央视1,http://183.222.206.14:8096/udp/239.94.2.128:5140
九画面央视2,http://183.222.206.14:8096/udp/239.94.2.129:5140
☘️天津市,#genre#
重庆汽摩,http://106.59.3.228:55555/rtp/239.200.200.98:8052
☘️云南省,#genre#
云南都市频道,http://106.59.3.228:55555/rtp/239.200.200.12:8844
云南娱乐频道,http://106.59.3.228:55555/rtp/239.200.200.13:8848
云南影视频道,http://106.59.3.228:55555/rtp/239.200.200.15:8856
云南康旅频道,http://106.59.3.228:55555/rtp/239.200.200.31:8860
云南少儿频道,http://106.59.3.228:55555/rtp/239.200.200.32:8864
澜湄国际频道,http://106.59.3.228:55555/rtp/239.200.200.33:8024
禄丰市电视台,http://106.59.3.228:55555/rtp/239.200.200.163:8798
其它频道,#genre#
BesTV,http://183.222.206.14:8096/udp/239.94.2.57:5140
BesTV_宝宝动画,http://183.222.206.14:8096/udp/239.94.1.32:5140
BesTV_戏曲精选,http://183.222.206.14:8096/udp/239.94.1.37:5140
BesTV_热门综艺,http://183.222.206.14:8096/udp/239.94.1.35:5140
BesTV_电竞天堂,http://183.222.206.14:8096/udp/239.94.1.45:5140
BesTV_精彩导视,http://183.222.206.14:8096/udp/239.94.1.63:5140
BesTV_青春动漫,http://183.222.206.14:8096/udp/239.94.1.34:5140
CGTN,http://183.222.206.14:8096/udp/239.94.0.40:5140
CGTN西语,http://112.66.102.205:8888/rtp/239.253.64.71:5140
CGTN阿语,http://112.66.102.205:8888/rtp/239.253.64.74:5140
IPTV15,http://183.222.206.14:8096/udp/239.94.1.36:5140
健康养生,http://183.222.206.14:8096/udp/239.94.1.27:5140
电信宣传,http://112.66.102.205:8888/rtp/239.253.64.80:5140
百事通1,http://112.66.102.205:8888/rtp/239.253.64.189:5140
百视通2,http://112.66.102.205:8888/rtp/239.253.64.184:5140
百视通3,http://112.66.102.205:8888/rtp/239.253.64.185:5140
百视通4,http://112.66.102.205:8888/rtp/239.253.64.186:5140
百视通5,http://112.66.102.205:8888/rtp/239.253.64.187:5140
百视通6,http://112.66.102.205:8888/rtp/239.253.64.188:5140
百视通7,http://112.66.102.205:8888/rtp/239.253.64.190:5140
